P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
3.69,-,23.00,-,0.00,-0.06,-,-3.40%,-5.90%,40.40%,31.22%
,,,,,,,,,,
1.69,-,-,-,0.93,-10.29,-,-133.80%,-,32.00%,21.32%
-,-,-,-,-,-,3.09%,-,-,-,-
,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
5.19,-,21.07,-,3.86,-1.12,-,378.50%,2.90%,133.30%,0.30%
-,-,-,-,-,-6.00,-,41.70%,-246.90%,19.60%,1.90%
0.76,8.38,7.89,1.05,0.09,2.75,8.15%,9.30%,24.00%,250.80%,0.20%
1.66,10.66,1.49,1.60,0.12,0.76,7.91%,15.90%,8.20%,-1.40%,32.69%
,,,,,,,,,,
0.56,-,-,-,0.07,-0.60,-,-,-84.90%,94.00%,15.16%
-,-,-,-,-,-22.28,-,-319.50%,-,-25.10%,6.90%
5.83,-,-,-,0.30,-0.74,-,-47.50%,-34.90%,-36.50%,2.30%
-,-,-,-,-,-,1.26%,-,-,-,-
20.69,-,203.61,-,0.00,-2.53,-,-34.10%,-27.80%,-141.50%,1.10%
-,-,-,-,-,-,7.72%,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-
2.08,-,-,-,0.00,-1.59,-,-,-48.10%,-,8.45%
207.00,-,-,-,5.82,-0.25,-,-,-398.60%,73.10%,3.70%
-,-,-,-,-,-,0.69%,-,-,-,-
-,-,-,-,-,-,2.72%,-,-,-,-
-,-,275.62,-,-,-3.11,-,84.20%,238.20%,43.60%,3.30%
1.54,-,-,-,0.00,-0.44,-,-,-,-,53.41%
,,,,,,,,,,
,,,,,,,,,,
1.47,-,3.69,-,0.05,-0.43,-,-37.80%,-31.60%,80.30%,3.10%
0.77,-,-,-,0.20,-32.85,-,-256.10%,-14.30%,99.40%,26.00%
1.62,8.15,11.24,-,0.00,2.65,7.39%,21.10%,36.40%,27.60%,1.40%
-,-,-,-,-,-,3.29%,-,-,-,-
3.68,524.35,15.70,92.97,0.00,0.39,-,0.70%,-1.30%,197.70%,0.30%
-,-,-,-,-,-,0.44%,-,-,-,-
0.42,-,-,-,0.00,-2.61,-,-81.40%,-,14.10%,6.00%
0.19,-,-,-,0.46,-6.08,-,-75.40%,-61.80%,41.00%,3.50%
2.17,-,-,-,0.00,-0.94,-,-54.20%,-69.60%,-11.40%,5.50%
