P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
0.68,6.93,7.10,1.73,0.19,2.67,4.53%,10.20%,20.20%,4.30%,0.80%
10.88,-,15.26,-,6.36,-0.93,-,-,-6.80%,-90.80%,0.40%
,,,,,,,,,,
0.21,8.42,-,-,0.40,0.19,-,-,2.80%,-,75.40%
3.08,29.57,10.98,0.93,0.36,0.89,1.29%,10.50%,8.90%,78.60%,0.70%
4.95,-,-,-,0.00,-0.22,-,-61.90%,-90.60%,-64.30%,0.90%
,,,,,,,,,,
0.96,-,-,-,0.00,-1.57,-,-200.30%,-,59.50%,3.00%
0.41,4.50,-,-,0.39,0.36,-,-,8.30%,200.70%,88.90%
8.18,-,-,-,0.00,-0.49,-,-156.40%,-162.10%,-48.70%,0.20%
0.83,-,-,-,0.00,-0.32,-,-96.10%,-146.00%,74.80%,12.87%
-,-,-,-,-,-,3.14%,-,-,-,-
,,,,,,,,,,
1.76,-,41.70,-,0.00,-0.33,-,-6.30%,-1.50%,-122.10%,2.40%
,,,,,,,,,,
0.81,-,25.81,-,0.00,-0.95,-,-0.60%,0.40%,-903.00%,0.40%
-,-,-,-,-,-,2.82%,-,-,-,-
-,-,-,-,-,-,4.25%,-,-,-,-
2.11,-,-,-,0.00,-0.55,-,-103.80%,-113.80%,31.90%,5.93%
0.94,-,-,-,0.00,-0.68,-,-29.60%,-,46.40%,5.10%
0.83,4.22,7.21,-,0.92,1.39,6.83%,20.60%,17.20%,-82.70%,29.28%
1.30,66.52,-,-,0.00,0.16,-,2.00%,-,563.60%,-
-,-,-,-,-,-4.94,-,81.40%,340.40%,0.40%,25.20%
1.69,11.81,7.50,0.35,2.76,16.52,3.38%,15.20%,4.40%,23.60%,0.10%
0.58,10.46,8.10,0.57,0.29,1.58,-,6.40%,20.20%,216.60%,1.00%
0.95,-,-,-,0.32,-1.66,-,-40.00%,-45.80%,38.50%,2.41%
2.89,44.64,17.19,2.11,1.64,0.70,-,7.10%,6.70%,-1.10%,0.50%
4.04,-,-,-,0.00,-0.70,-,-43.10%,-40.00%,-103.00%,16.40%
2.97,-,50.89,-,0.00,-0.50,-,-6.90%,-11.20%,56.40%,0.60%
0.88,-,-,-,0.00,-0.73,-,-22.00%,-23.00%,3.90%,3.10%
,,,,,,,,,,
-,-,22.01,-,-,-2.01,1.00%,32.10%,-1.00%,106.80%,0.30%
-,-,-,-,-,-,3.37%,-,-,-,-
,,,,,,,,,,
2.03,-,-,-,1.43,-0.60,-,-103.60%,-54.60%,-43.10%,3.60%
2.13,-,-,-,0.02,-2.86,-,-39.00%,-39.40%,13.90%,0.90%
6.77,-,-,-,0.43,-1.78,-,-96.60%,-68.60%,-19.10%,14.50%
6.97,-,-,-,-,-0.04,-,-,-,-,22.47%
3.34,-,-,-,0.00,-1.58,-,-57.30%,-64.30%,-1.30%,3.10%
7.38,44.04,12.55,-,0.78,0.06,-,23.00%,12.70%,223.80%,0.30%
6.67,-,-,-,-,-0.49,-,-,-,-302.30%,71.72%
5.81,56.96,16.49,2.94,0.39,0.31,-,11.10%,6.40%,394.20%,1.20%
-,-,-,-,-,-,1.81%,-,-,-,-
4.46,-,-,-,1.23,-0.98,-,-135.50%,-,-145.00%,42.47%
2.27,-,14.02,-,0.96,-1.38,-,-23.60%,-7.10%,-117.40%,2.40%
6.59,-,-,-,0.00,-1.09,-,-46.10%,-37.00%,-269.80%,2.60%
1.74,-,-,-,0.12,-0.40,-,-22.20%,-17.30%,42.40%,27.55%
,,,,,,,,,,
1.45,34.90,7.02,1.40,4.45,0.20,-,4.50%,9.70%,-694.30%,0.10%
3.58,-,-,-,0.00,-1.31,-,-,-,-,69.49%
0.67,27.24,9.60,0.78,0.51,0.32,-,4.20%,5.70%,-167.50%,1.80%
-,-,-,-,-,-7.89,-,188.30%,-41.70%,-5.90%,0.10%
0.21,-,-,-,0.00,-0.09,-,-9.80%,-7.60%,-169.70%,22.26%
6.93,34.63,-,-,1.84,2.36,-,-,22.40%,-19.90%,71.57%
1.74,-,-,-,0.04,-0.30,-,-110.20%,-88.60%,-614.80%,0.20%
1.75,-,5.06,-,0.64,-0.32,-,-13.70%,-10.90%,129.50%,2.80%
0.51,-,-,-,0.42,-2.31,-,-,-86.50%,103.20%,33.05%
3.46,23.89,17.92,1.19,0.00,0.28,-,15.70%,17.60%,-11.60%,0.10%
-,-,-,-,-,-,-,-,-,-,-
3.28,19.09,21.31,2.21,0.64,12.02,0.66%,18.50%,10.10%,55.50%,0.30%
1.88,13.30,-,-,1.33,5.22,1.79%,14.70%,16.70%,-3.10%,68.90%
2.47,-,23.30,-,0.49,-0.31,-,-1.40%,0.70%,99.40%,0.50%
,,,,,,,,,,
1.92,20.29,14.75,-,0.05,1.88,-,10.00%,9.50%,-25.20%,1.00%
1.62,7.49,-,-,0.27,2.90,6.62%,23.30%,51.50%,19.60%,0.10%
,,,,,,,,,,
3.49,234.46,31.08,4.04,0.00,0.37,-,1.60%,2.50%,-57.80%,0.30%
1.37,22.04,-,-,0.50,0.18,-,6.40%,1.40%,182.40%,1.60%
4.43,30.88,21.33,-,0.31,0.23,-,14.90%,12.20%,-238.20%,1.00%
3.58,-,-,-,0.00,-1.05,-,-30.80%,-32.50%,3.60%,1.80%
0.91,370.00,-,-,0.00,0.00,-,0.50%,-80.50%,-759.10%,5.74%
1.13,-,-,-,0.00,-1.08,-,-74.40%,-,-166.10%,5.90%
-,-,-,-,-,-,1.33%,-,-,-,-
0.79,7.50,8.90,5.36,0.00,1.92,5.83%,10.80%,27.90%,-3.10%,1.30%
4.47,-,-,-,0.10,-0.63,-,-240.90%,-373.10%,6.60%,1.80%
0.66,1.95,3.84,-,0.08,3.52,2.91%,37.60%,50.70%,-161.40%,10.83%
4.07,-,-,-,0.05,-1.87,-,-61.30%,-,4.00%,4.50%
0.84,8.02,9.02,-,0.00,1.34,2.98%,10.80%,36.20%,-38.70%,2.90%
14.19,-,-,-,2.08,-0.13,-,-,-,-88.10%,69.15%
-,-,-,-,-,-,6.77%,-,-,33.50%,-
1.16,-,12.36,-,0.96,-0.15,-,-4.50%,2.70%,-413.10%,0.90%
1.63,36.12,18.64,-,0.01,0.42,-,4.30%,3.70%,309.60%,12.16%
0.80,-,-,-,-,-4.38,-,-,-,-,5.11%
-,-,-,-,-,-,2.05%,-,-,-,-
2.04,-,4.80,-,1.43,-0.80,-,-15.80%,-21.30%,-344.60%,0.30%
3.95,25.04,12.40,3.97,1.20,1.91,2.34%,16.30%,7.10%,255.80%,0.10%
0.64,-,-,-,0.04,-2.14,-,-39.30%,-42.80%,18.90%,36.04%
4.62,7.63,-,-,15.37,0.24,-,-22.20%,-,-546.50%,90.32%
3.69,21.39,17.19,1.43,0.12,4.12,0.26%,-,16.60%,18.40%,0.70%
2.93,-,94.13,-,0.00,-0.70,-,-14.00%,-14.70%,-258.80%,0.30%
1.85,10.08,7.23,-,0.05,4.55,0.44%,18.70%,36.80%,-46.80%,1.00%
1.35,-,-,-,0.00,-3.36,-,-40.70%,-30.90%,-4.80%,5.17%
3.07,-,12.85,-,0.04,-0.28,-,-,-22.80%,116.30%,22.20%
,,,,,,,,,,
4.76,-,38.89,-,1.70,-0.22,-,-,-0.70%,96.10%,4.30%
-,-,-,-,-,-,2.05%,-,-,-,-
0.73,4.74,11.55,-,1.68,1.92,3.31%,16.30%,13.40%,-134.30%,0.20%
5.87,-,-,-,0.07,-0.88,-,-28.30%,-32.00%,47.70%,50.80%
1.15,6.32,-,0.44,0.41,13.05,0.80%,19.30%,15.70%,-40.90%,1.30%
1.93,146.67,115.79,4.18,0.00,0.03,-,1.60%,-7.40%,90.30%,0.10%
0.55,-,-,-,0.00,-1.02,-,-56.70%,-,7.90%,18.20%
-,-,-,-,-,-,0.04%,-,-,-,-
0.70,6.93,7.27,0.22,0.08,7.27,1.75%,10.60%,16.10%,6.40%,2.21%
0.62,-,-,-,0.00,-0.87,-,-52.20%,-47.00%,6.80%,4.20%
3.25,22.36,20.78,8.98,0.25,2.71,-,16.10%,11.60%,34.60%,-
3.21,-,-,-,0.00,-1.41,-,-6.60%,-5.10%,-27.70%,0.10%
,,,,,,,,,,
0.36,-,-,-,1.13,-86.89,-,-249.50%,-177.30%,57.20%,0.10%
,,,,,,,,,,
0.83,8.94,10.15,0.89,0.23,2.99,-,9.60%,8.30%,-34.40%,1.90%
,,,,,,,,,,
,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
2.17,18.12,13.33,2.42,0.00,5.19,1.42%,12.10%,13.10%,-9.10%,0.10%
5.44,31.51,18.04,1.70,0.10,8.33,-,17.10%,18.20%,-19.20%,0.23%
,,,,,,,,,,
3.78,-,-,-,0.00,-0.15,-,-43.50%,-64.90%,77.60%,12.00%
100.20,-,50.73,-,0.00,-0.71,-,-220.50%,-6.60%,60.40%,1.70%
1.28,16.49,9.51,2.94,0.20,1.53,3.33%,8.00%,7.50%,21.80%,0.90%
-,-,-,-,-,-,0.74%,-,-,-,-
3.25,-,-,-,2.85,-0.70,-,-,-122.70%,-123.30%,0.10%
,,,,,,,,,,
0.84,-,9.28,-,0.63,-1.88,-,-129.60%,-90.20%,-,17.20%
0.67,11.45,-,-,0.00,1.05,-,6.10%,22.90%,-0.60%,2.30%
1.56,-,-,-,0.00,-1.83,-,-43.00%,-48.20%,16.00%,0.40%
2.79,-,45.53,-,0.31,-0.20,-,-3.30%,-8.90%,88.70%,0.50%
75.00,-,-,-,0.00,-1.27,-,-282.50%,-72.40%,16.60%,13.20%
1.02,-,13.86,-,0.13,-0.51,-,-36.40%,-36.50%,13.00%,2.10%
0.26,51.69,-,10.34,1.83,0.14,13.62%,0.50%,2.30%,96.70%,0.50%
0.43,-,-,-,0.72,-4.43,-,-108.80%,-70.60%,37.10%,35.63%
0.63,1.22,-,-,5.95,1.49,-,53.20%,5.50%,78.60%,5.10%
2.44,-,-,-,0.00,-1.53,-,-,-52.90%,-,10.16%
3.45,19.12,-,-,0.05,0.14,-,-,68.30%,-26.50%,78.89%
-,-,-,-,-,-,5.20%,-,-,-,-
0.26,-,-,-,0.06,-0.92,-,-19.00%,-25.00%,17.50%,1.90%
,,,,,,,,,,
,,,,,,,,,,
1.11,7.03,-,-,0.00,3.42,4.83%,16.50%,36.10%,-18.40%,1.00%
0.74,3.89,-,-,-,4.43,8.71%,-,-,9.60%,-
,,,,,,,,,,
1.37,92.89,-,-,0.00,0.11,-,2.00%,-,-,23.45%
0.31,-,-,-,0.00,-2.34,-,-60.50%,-,20.30%,8.96%
0.85,-,-,-,0.00,-0.18,-,-,-,-,21.30%
0.81,10.69,-,-,0.00,1.07,6.27%,7.80%,27.70%,57.50%,0.90%
2.46,-,9.76,-,0.25,-0.13,-,-6.10%,-4.10%,8.80%,4.00%
0.67,-,-,-,0.00,-4.60,-,-34.60%,-36.70%,213.90%,6.60%
-,-,-,-,-,-,1.62%,-,-,-,-
1.63,68.18,-,-,0.01,0.16,-,1.70%,-,577.40%,-
,,,,,,,,,,
1.31,-,-,-,-,-0.39,-,-,-,-,-
,,,,,,,,,,
1.38,-,-,-,0.46,-0.55,-,-121.70%,-,-5.70%,13.90%
1.08,-,-,-,0.00,-1.40,-,-57.00%,-62.40%,-70.60%,2.80%
10.24,16.76,15.34,1.20,0.00,24.59,-,65.60%,63.10%,9.10%,0.10%
0.86,8.03,-,-,0.00,0.17,-,10.90%,10.30%,258.80%,47.90%
-,-,-,-,-,-,0.80%,-,-,-,-
0.56,-,3.03,-,3.08,-5.88,-,-68.90%,-4.70%,-498.10%,8.00%
-,7.09,-,0.47,-,1.73,14.82%,-,77.30%,-4.30%,0.80%
0.38,11.80,43.51,2.36,0.42,1.38,-,3.30%,2.50%,-67.30%,6.20%
,,,,,,,,,,
-,-,-,-,-,-,1.02%,-,-,-,-
3.54,-,14.11,-,1.23,-0.37,-,-18.70%,-11.50%,166.00%,0.80%
,,,,,,,,,,
0.79,6.94,6.64,0.87,0.28,2.33,5.68%,11.60%,22.60%,19.30%,9.50%
,,,,,,,,,,
1.43,15.12,-,-,0.26,0.68,-,-,-,8.00%,5.30%
0.77,-,-,-,0.00,-2.31,-,-51.90%,-58.60%,15.70%,19.34%
0.63,21.59,-,0.60,0.00,0.28,-,3.10%,0.20%,149.40%,3.40%
,,,,,,,,,,
2.07,13.24,9.64,-,0.33,1.19,-,18.10%,12.70%,34.80%,71.20%
0.35,-,3.78,-,2.60,-7.86,0.59%,-29.50%,23.90%,-,1.10%
0.60,-,-,-,0.61,-0.85,-,-,-,-,22.95%
0.69,-,-,-,0.12,-1.18,-,-8.00%,-8.10%,-804.10%,41.64%
0.32,-,-,-,-,-0.25,-,-,-6.20%,-,45.56%
1.72,-,-,-,0.32,-0.34,-,-,-228.50%,-,-
-,-,-,-,-,-,2.26%,-,-,-,-
2.07,-,-,-,-,-,9.01%,-,-,-,-
0.63,7.89,-,-,0.75,6.16,-,8.40%,7.50%,27.80%,13.14%
-,-,6.58,-,-,-3.26,-,49.70%,-30.60%,8.10%,0.50%
0.95,-,-,-,0.00,-1.78,-,-34.60%,-35.40%,-45.40%,1.30%
6.49,51.32,25.66,3.22,0.38,7.91,0.77%,13.60%,9.00%,17.60%,0.20%
25.46,-,52.74,-,0.51,-0.79,-,-14.40%,-9.60%,-10.50%,0.70%
0.68,-,-,-,0.00,-1.24,-,-88.30%,-126.00%,67.00%,17.20%
2.33,-,-,-,1.35,-0.45,-,-42.60%,-42.50%,80.40%,32.44%
3.65,-,-,-,0.00,-1.77,-,-,-66.50%,63.20%,-
0.04,-,-,-,0.19,-16.58,-,-19.30%,-,90.40%,44.99%
0.72,7.65,8.80,3.06,0.04,5.94,4.84%,9.50%,17.40%,21.40%,0.40%
-,-,-,-,-,-1.35,-,-616.80%,-200.60%,23.90%,0.45%
1.43,11.09,-,-,-,0.87,-,-,-,11.00%,67.94%
19.67,-,-,-,0.00,-0.65,-,-274.30%,-242.90%,10.90%,2.30%
4.38,-,-,-,0.00,-1.27,-,-41.90%,-41.00%,-32.20%,13.30%
3.69,519.79,30.35,58.14,0.00,0.24,-,0.70%,2.40%,-115.50%,0.50%
1.77,-,-,-,1.22,-0.92,-,-130.00%,-80.50%,36.80%,15.23%
,,,,,,,,,,
1.95,-,19.86,-,0.79,-1.92,-,-2.20%,-0.10%,74.60%,1.50%
-,-,8.91,-,-,-0.51,-,-,5.90%,129.70%,0.90%
-,46.79,-,-,-,0.23,-,-,-,-,26.90%
,,,,,,,,,,
4.76,34.08,14.73,8.75,0.72,7.86,-,15.10%,9.40%,-24.40%,0.60%
8.46,-,8.66,-,1.07,-0.36,-,-209.60%,-128.50%,72.70%,1.60%
12.13,78.44,37.81,4.61,0.00,5.93,-,16.30%,18.50%,-6.60%,0.20%
-,-,-,-,-,-,1.54%,-,-,-,-
1.27,-,-,-,0.21,-0.33,-,-10.20%,-6.20%,-59.90%,0.60%
1.05,-,35.41,-,0.00,-0.45,-,-3.20%,-2.40%,-3.20%,14.31%
,,,,,,,,,,
0.49,-,2.41,-,0.55,-18.77,-,-18.10%,1.90%,-138.50%,1.04%
6.59,-,-,-,0.00,-73.73,-,-238.10%,-,-86.60%,6.60%
2.06,-,-,-,0.00,-0.28,-,-38.90%,-68.40%,101.50%,53.40%
0.97,8.80,9.09,1.09,0.47,3.51,2.85%,11.60%,25.00%,-61.40%,0.80%
-,-,-,-,-,-,0.94%,-,-,-,-
0.85,-,-,-,0.60,-0.81,-,-68.70%,-36.10%,-320.50%,9.60%
0.95,-,-,-,0.18,-0.17,-,-104.30%,-71.20%,21.20%,11.90%
-,-,-,-,-,-,12.31%,-,-,-,-
0.83,8.53,6.08,-,0.14,2.15,4.37%,8.10%,34.80%,51.20%,1.10%
-,-,-,-,-,-,1.92%,-,-,-,-
1.22,-,-,-,0.00,-3.76,-,-27.80%,-27.80%,8.20%,1.00%
1.62,7.81,11.20,-,0.78,6.85,1.57%,22.80%,12.60%,0.20%,0.40%
0.90,-,-,-,0.00,-3.92,-,-28.00%,-28.80%,-41.60%,0.20%
1.80,34.88,12.24,3.49,0.12,0.17,-,5.40%,2.60%,195.20%,27.50%
0.53,-,-,-,0.28,-10.60,-,-142.40%,-126.30%,-219.00%,1.90%
,,,,,,,,,,
1.54,4.77,4.63,1.59,0.81,5.75,1.53%,35.70%,22.60%,-39.50%,74.55%
1.35,-,-,-,0.00,-1.57,-,-49.30%,-55.10%,4.60%,0.50%
-,-,-,-,-,-,0.02%,-,-,-,-
-,-,-,-,-,-,1.11%,-,-,-,-
3.01,24.76,16.79,3.10,0.54,4.82,-,12.90%,9.80%,-47.40%,7.30%
4.57,-,-,-,0.00,-1.02,-,-,-,-,2.40%
,,,,,,,,,,
0.71,6.63,6.74,-,0.12,3.44,3.51%,10.80%,22.80%,-0.80%,1.70%
,,,,,,,,,,
2.51,27.59,14.65,0.92,1.03,1.32,0.33%,10.00%,5.60%,143.80%,11.00%
1.82,11.57,9.50,7.37,0.15,3.19,-,17.10%,13.50%,119.50%,16.41%
1.41,7.71,13.45,-,0.00,1.55,10.44%,19.80%,12.30%,142.00%,1.80%
0.70,43.73,-,-,0.00,0.23,-,3.00%,-,-76.40%,-
0.99,-,-,-,0.66,-1.91,-,-85.40%,-32.90%,-378.30%,0.20%
0.82,10.78,-,-,0.00,0.79,-,8.00%,16.40%,1894.70%,55.65%
0.51,-,-,-,0.00,-11.05,-,-79.70%,-,26.00%,0.90%
36.81,-,67.60,-,2.16,-2.28,-,-62.90%,-21.70%,44.40%,1.00%
-,-,-,-,-,-2.13,-,61.90%,-,-405.90%,80.90%
-,-,-,-,-,-,0.17%,-,-,-,-
2.38,-,-,-,0.57,-0.96,-,-430.10%,-210.70%,81.20%,1.10%
1.22,-,-,-,0.11,-0.29,-,-57.30%,-29.20%,-90.10%,9.60%
-,15.54,-,-,-,4.51,2.85%,-37.20%,44.30%,53.20%,1.30%
0.45,-,-,-,0.00,-0.81,-,-34.80%,-47.30%,51.40%,0.40%
,,,,,,,,,,
0.15,-,-,-,2.14,-53.94,-,-262.30%,-,66.80%,0.80%
,,,,,,,,,,
1.67,17.79,28.76,3.56,0.47,2.62,3.87%,8.50%,11.20%,-91.40%,0.60%
,,,,,,,,,,
1.55,-,-,-,0.00,-0.28,-,-18.90%,-,13.90%,2.98%
0.42,-,-,-,0.00,-12.48,-,-115.70%,-,95.80%,0.30%
2.30,13.02,11.15,2.79,0.60,2.00,3.99%,18.70%,5.90%,-4.80%,1.00%
3.87,-,-,-,-,-0.05,-,-,-,-,-
6.05,22.67,20.80,27.31,0.71,0.45,-,26.10%,19.60%,-44.60%,5.10%
,,,,,,,,,,
-,-,-,-,0.97,-70.42,-,-,-,-,8.40%
0.74,-,8.44,-,2.80,-2.60,16.39%,-18.30%,-7.40%,113.00%,1.47%
-,-,-,-,-,-,0.09%,-,-,-,-
0.74,-,-,-,0.02,-3.83,-,-,-13.90%,-,0.10%
0.86,2.41,-,-,0.04,5.03,-,40.90%,35.10%,203.60%,80.72%
1.18,9.18,-,-,-,0.71,-,-,-,-69.60%,17.24%
-,-,-,-,-,-156.16,-,295.20%,332.20%,96.10%,0.30%
,,,,,,,,,,
,,,,,,,,,,
2.00,-,-,-,0.00,-2.12,-,-40.60%,-,10.70%,10.15%
0.52,-,-,-,3.56,-2.11,-,-78.60%,-21.20%,52.10%,0.60%
0.28,-,-,-,-,-3.33,-,-,-,-,21.94%
-,-,-,-,-,-,0.17%,-,-,-,-
-,-,-,-,-,-,1.64%,-,-,-,-
0.38,-,-,-,-,-2.29,-,-,-,-,-
5.09,4153.08,29.89,832.28,1.83,0.03,0.37%,-0.20%,4.90%,-164.10%,0.20%
3.49,-,-,-,0.07,-1.04,-,-41.70%,11.20%,-119.10%,26.02%
1.04,-,254.39,-,0.00,-0.34,0.92%,-,-0.80%,-,1.10%
1.33,-,-,-,0.00,-15.78,-,-117.40%,-117.60%,54.60%,37.11%
2.37,24.22,20.04,5.77,0.67,2.98,2.26%,10.00%,6.20%,-9.70%,0.19%
0.64,8.02,13.03,1.00,0.12,2.96,-,8.20%,26.80%,-66.10%,1.30%
1.94,10.05,9.07,-,0.00,4.28,1.16%,22.70%,28.80%,123.70%,7.40%
5.61,-,-,-,1.73,-1.60,-,-245.20%,-200.60%,-15.10%,80.40%
3.05,12.62,9.10,0.81,0.06,1.82,2.62%,-,29.20%,-,28.50%
-,-,-,-,-,-,4.93%,-,-,-,-
,,,,,,,,,,
5.53,-,-,-,0.16,-0.35,-,-91.40%,-105.70%,22.70%,0.10%
2.75,-,18.43,-,0.79,-0.12,-,-6.00%,-0.50%,-127.70%,1.80%
2.14,15.11,14.36,1.86,0.41,6.05,-,15.20%,10.20%,53.30%,0.90%
,,,,,,,,,,
1.20,6.19,9.22,-,0.00,4.30,5.49%,20.40%,33.00%,-4.80%,3.12%
938.50,-,239.11,-,0.00,-0.35,-,-368.70%,-,-123.80%,1.60%
1.32,61.43,-,-,0.00,0.17,-,2.20%,-,-,2.50%
,,,,,,,,,,
1.03,-,-,-,0.00,-0.55,-,-38.20%,-39.60%,-6.20%,0.70%
4.47,124.46,-,-,0.00,0.08,-,1.20%,-,274.50%,11.49%
1.19,7.12,7.39,-,0.02,2.73,-,18.30%,16.50%,-0.90%,7.20%
0.60,299.17,-,-,1.39,0.06,-,0.30%,-4.40%,-166.40%,1.70%
1.01,-,-,-,-,-3.82,8.97%,-,-,-,0.15%
,,,,,,,,,,
-,-,-,-,-,-,12.87%,-,-,-,-
-,-,-,-,-,-1.80,-,198.50%,-49.80%,43.70%,1.40%
0.75,-,-,-,0.00,-6.92,-,-99.70%,-119.40%,15.80%,1.80%
267.95,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
0.90,1600.00,-,-,0.09,0.00,-,0.20%,-5.70%,15.00%,11.89%
3.35,-,-,-,0.00,-1.69,-,-64.80%,-86.80%,77.20%,12.34%
-,-,-,-,-,-0.12,-,-,340.90%,-,65.11%
1.29,111.67,17.83,-,0.41,0.28,-,1.30%,-1.00%,317.40%,4.00%
8.84,189.45,32.28,-,4.02,0.09,-,6.40%,20.20%,-135.70%,0.60%
0.72,-,-,-,0.32,-1.17,-,-83.50%,-70.50%,-20.40%,0.79%
1.45,9.68,14.25,0.73,0.42,1.64,0.50%,15.30%,11.10%,-24.90%,1.30%
1.15,19.66,1.40,1.38,0.89,0.77,-,6.40%,7.10%,60.30%,7.20%
24.61,94.34,48.83,-,2.73,0.51,0.41%,29.70%,8.00%,-18.70%,21.80%
,,,,,,,,,,
-,14.53,10.63,1.50,-,0.64,-,-50.80%,32.20%,-321.30%,1.50%
,,,,,,,,,,
1.32,-,-,-,0.00,-0.39,-,-42.00%,-45.60%,4.00%,12.00%
1.34,-,-,-,0.02,-0.31,-,-158.20%,-73.90%,11.10%,0.30%
,,,,,,,,,,
,,,,,,,,,,
-,98.75,3.51,-,-,0.06,-,-,-0.30%,65.10%,38.20%
,,,,,,,,,,
0.30,-,-,-,-,-4.36,-,-,-,-,33.53%
0.83,19.90,15.91,-,0.11,0.73,1.93%,4.40%,6.10%,-52.90%,0.60%
,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
1.07,6.52,-,-,0.00,0.30,-,-,-,-2.80%,66.86%
1.14,-,-,-,0.00,-2.77,-,-23.20%,-21.40%,-323.00%,66.50%
3.20,-,-,-,0.00,-1.63,-,-,-,2.80%,-
-,-,-,-,-,-,2.54%,-,-,-,-
3.39,18.99,16.73,1.90,0.34,5.22,0.40%,19.00%,14.00%,-13.90%,0.10%
0.77,-,-,-,0.22,-1.23,-,-33.50%,-61.50%,-441.50%,31.58%
0.93,9.60,10.41,-,0.13,2.49,4.18%,9.80%,18.90%,16.00%,5.10%
,,,,,,,,,,
,,,,,,,,,,
6.34,-,-,-,-,-0.13,-,-,-,-,5.02%
8.31,-,-,-,0.06,-0.05,-,0.30%,-,-144.30%,-
0.53,-,-,-,0.83,-29.10,-,-,-281.90%,-209.10%,-
2.62,-,27.92,-,0.39,-0.50,-,-2.00%,-0.10%,-,0.50%
3.27,48.11,24.05,1.55,0.04,0.18,-,7.70%,10.00%,-136.80%,0.80%
0.75,16.60,22.86,-,0.00,0.48,-,4.60%,14.30%,-24.70%,65.29%
0.20,-,-,-,-,-8.83,-,-,-,-,15.79%
1.69,7.99,-,-,0.44,1.56,7.71%,25.20%,57.70%,-44.10%,15.68%
-,-,-,-,-,-0.81,-,702.50%,650.10%,-15.00%,8.21%
,,,,,,,,,,
3.53,26.27,10.92,1.67,0.55,2.36,-,13.50%,9.30%,61.40%,0.20%
7.76,40.76,28.33,4.08,0.00,5.41,2.16%,22.50%,20.60%,25.70%,0.80%
,,,,,,,,,,
0.43,-,-,-,0.30,-0.14,-,-,-,-,33.20%
-,-,-,-,-,-0.79,-,-,-108.80%,-,-
,,,,,,,,,,
0.01,-,-,-,0.00,-0.60,200.70%,-3.90%,-0.40%,-,5.74%
1.14,-,-,-,0.04,-3.17,-,-46.70%,-,-22.30%,2.20%
0.76,8.19,7.28,-,0.02,1.23,-,10.00%,26.60%,-0.60%,0.50%
3.30,17.88,8.37,14.90,1.03,0.40,-,19.90%,11.30%,-14.10%,21.30%
3.55,17.02,11.87,-,0.80,6.19,-,17.30%,-1.40%,309.40%,9.10%
0.79,-,-,-,1.93,-1.10,-,-73.10%,-4.50%,-483.10%,6.90%
4.30,98.53,21.26,5.20,0.53,0.25,-,4.60%,2.40%,616.00%,1.50%
0.73,4.61,6.58,-,0.28,5.09,3.41%,16.50%,25.60%,27.50%,5.10%
8.49,-,-,-,0.08,-0.45,-,-324.80%,-368.60%,16.10%,1.80%
,,,,,,,,,,
0.88,8.07,8.99,-,0.10,5.00,4.06%,11.50%,25.50%,-21.10%,1.20%
8.68,-,-,-,0.41,-0.20,-,-160.90%,-100.10%,-45.40%,46.14%
0.84,-,-,-,0.02,-20.18,-,-304.00%,-,82.10%,54.93%
37.70,-,128.51,-,2.78,-0.00,-,0.10%,1.70%,-14.70%,0.10%
0.29,-,-,-,0.00,-1.06,-,-25.10%,-12.60%,-157.80%,0.90%
1.64,7.54,7.66,2.51,0.00,5.20,4.29%,23.30%,29.30%,79.00%,3.96%
1.69,18.40,9.30,0.80,0.21,1.75,1.93%,9.40%,3.90%,305.10%,6.05%
0.31,-,-,-,0.00,-3.94,-,-121.30%,-55.20%,17.30%,28.57%
3.10,6.17,31.68,-,1.04,1.99,-,-,47.80%,-100.10%,0.40%
,,,,,,,,,,
0.47,-,-,-,0.00,-1.05,-,-,-119.90%,-,3.90%
6.67,-,-,-,-,-0.32,-,-,-,-,-
-,-,27.89,-,-,-0.99,-,-,-100.80%,-60.40%,0.80%
,,,,,,,,,,
0.93,-,-,-,0.00,-0.03,-,-1.90%,-3.50%,58.50%,22.17%
,,,,,,,,,,
0.22,-,-,-,0.00,-5.14,-,-145.40%,-299.10%,67.90%,0.58%
0.67,4.26,5.07,0.57,21.35,3.60,4.17%,16.90%,0.90%,-48.80%,2.80%
4.37,-,28.18,-,0.10,-0.45,-,-66.80%,-57.60%,137.90%,0.60%
0.84,-,-,-,0.18,-0.07,-,-8.10%,10.60%,-94.10%,38.84%
7.84,-,-,-,0.00,-1.43,-,-35.80%,-45.70%,9.50%,3.40%
,,,,,,,,,,
0.63,-,-,-,0.02,-0.07,-,-0.90%,-,178.60%,76.89%
1.24,9.92,9.32,-,0.58,2.53,-,9.80%,7.70%,21.20%,3.00%
-,-,-,-,-,-5.98,-,633.20%,299.10%,55.00%,3.00%
-,-,-,-,-,-1.05,-,94.40%,-154.60%,-5.10%,72.71%
1.48,-,-,-,0.76,-0.26,-,-12.90%,-4.30%,-779.70%,14.20%
