,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
PFIN,0.48,-,-,-,0.18,-0.16,3.16%,-1.20%,-2.20%,154.10%,3.20%
CMLS,0.15,-,5.80,-,1.84,-0.30,-,-1.10%,7.20%,-,0.10%
SIGI,2.45,24.14,13.27,1.80,0.20,4.13,1.20%,10.70%,10.10%,66.90%,0.80%
PUCKU,,,,,,,,,,,
NLSP,7.64,-,-,-,0.00,-0.88,-,-,-,-37.80%,27.14%
NEGG,2.59,-,-,-,0.05,-0.15,-,-33.20%,-40.50%,-530.90%,52.90%
USTB,-,-,-,-,-,-,3.27%,-,-,-,-
ANTE,0.17,-,-,-,0.24,-0.39,-,-,-,-,10.00%
SGRY,2.33,-,43.95,-,1.32,-0.92,-,-5.80%,7.00%,-247.10%,0.20%
RMGC,,,,,,,,,,,
SANW,0.63,6.03,-,0.40,0.63,0.18,-,15.20%,-33.90%,504.50%,1.00%
ERII,7.65,147.14,46.03,7.36,0.00,0.17,-,5.60%,12.30%,-182.50%,1.80%
ROC,,,,,,,,,,,
SIGA,2.48,12.24,4.80,12.24,0.00,0.46,-,20.70%,19.10%,-157.50%,42.56%
SNAX,1.49,-,-,-,0.35,-1.03,-,-157.70%,-131.50%,75.70%,17.70%
AMKR,1.68,9.75,11.15,-,0.34,2.60,1.18%,18.20%,16.30%,-73.50%,6.10%
BSGM,51.67,-,-,-,0.00,-0.55,-,-971.60%,-,46.00%,7.80%
WOOF,0.88,32.70,14.90,0.67,0.69,0.24,-,3.70%,4.70%,12.70%,1.30%
ERET,,,,,,,,,,,
ULCC,3.67,25.40,5.49,-,0.88,0.32,-,15.00%,-3.90%,89.30%,0.10%
CPAA,,,,,,,,,,,
OLK,5.60,-,322.17,-,0.02,-0.11,-,-3.10%,-6.70%,168.90%,68.29%
BJDX,0.43,-,-,-,0.00,-0.49,-,-76.80%,-83.10%,-24.70%,0.20%
TRVI,2.01,-,-,-,0.08,-0.47,-,-29.70%,-,72.70%,3.63%
CPOP,0.29,15.00,-,-,0.11,0.04,-,-,0.90%,-,29.34%
FCFS,2.42,16.92,14.69,1.52,0.73,5.82,1.34%,11.20%,9.90%,144.60%,20.07%
SEER,0.55,-,-,-,0.00,-1.49,-,-20.60%,-21.80%,0.80%,1.50%
GGLS,,,,,,,,,,,
AAPD,-,-,-,-,-,-,3.31%,-,-,-,-
NRC,14.41,36.13,-,2.78,0.28,1.21,1.10%,42.70%,37.60%,-16.20%,0.10%
TSHA,-,-,-,-,-,-2.75,-,-,-417.60%,78.90%,3.90%
SVII,,,,,,,,,,,
HURC,0.60,23.48,-,-,0.00,0.90,3.04%,2.60%,4.10%,-62.40%,3.50%
ROCL,,,,,,,,,,,
ZBZZT,,,,,,,,,,,
GASS,0.23,3.46,3.63,0.68,0.54,0.90,-,6.90%,4.10%,119.70%,3.00%
RFIL,1.19,86.74,10.11,-,0.36,0.06,-,1.40%,3.60%,-313.00%,5.00%
QOMOU,,,,,,,,,,,
RANI,3.42,-,-,-,0.00,-1.32,-,-83.10%,-,-14.10%,1.10%
ZJZZT,,,,,,,,,,,
BLTE,12.09,-,-,-,0.00,-0.73,-,-,-,-68.00%,70.98%
DBGI,-,-,-,-,-,-102.71,-,314.20%,-486.30%,96.80%,0.08%
PPYA,,,,,,,,,,,
VFF,0.20,-,-,-,0.19,-1.12,-,-,-23.80%,13.50%,16.22%
QUBT,0.97,-,-,-,0.11,-0.87,-,-48.90%,-44.10%,42.50%,44.90%
EBON,0.12,-,-,-,0.00,-5.58,-,-,-15.00%,-,0.08%
FPA,,,,,,,,,,,
PAHC,1.97,18.77,9.93,5.21,1.77,0.71,3.62%,10.70%,8.00%,-43.20%,0.54%
IJT,-,-,-,-,-,-,1.35%,-,-,-,-
VIRI,2.52,-,-,-,0.00,-1.24,-,-171.30%,-,65.90%,12.05%
BTB,0.01,-,-,-,0.00,-11.12,-,-,-12.00%,-594.40%,0.08%
CYTH,14.22,-,-,-,0.00,-1.83,-,-212.10%,-,-54.90%,3.80%
JGGCU,,,,,,,,,,,
MCRI,2.70,14.65,13.42,1.05,0.11,4.44,1.84%,17.40%,16.50%,-2.80%,4.30%
EMLDU,,,,,,,,,,,
SOXQ,-,-,-,-,-,-,1.10%,-,-,-,-
BCPC,4.10,40.65,29.30,1.69,0.45,3.06,0.57%,10.70%,8.50%,-21.40%,0.93%
XGN,1.46,-,-,-,0.84,-2.61,-,-90.80%,-62.70%,27.40%,2.70%
REVB,0.49,-,-,-,0.00,-16.20,-,-,-,-,10.43%
NRIM,0.96,7.67,7.30,-,0.05,4.92,6.36%,13.00%,37.40%,-30.40%,1.20%
CNFR,0.88,-,11.43,-,1.52,-0.75,-,-36.60%,-15.30%,127.70%,42.20%
HNRG,1.11,5.93,2.49,-,0.39,1.34,-,-,9.10%,284.70%,1.50%
ISHP,,,,,,,,,,,
MAYS,1.71,-,-,-,0.00,-0.01,-,0.00%,-0.60%,122.80%,80.56%
JXJT,0.92,-,-,-,0.00,-32.94,-,-312.40%,-865.60%,-797.60%,84.80%
COFS,,,,,,,,,,,
CITEU,,,,,,,,,,,
LIDR,0.45,-,-,-,0.07,-0.62,-,-98.00%,-96.40%,1.00%,4.60%
GOOGL,6.06,27.92,19.68,1.59,0.05,4.43,-,22.80%,23.40%,-4.70%,0.28%
RETA,-,-,-,-,-,-9.65,-,-,420.00%,-55.00%,3.83%
USCT,,,,,,,,,,,
NDLS,4.33,-,7.72,-,1.57,0.00,-,0.00%,-1.00%,52.00%,1.30%
HMNF,0.80,9.88,-,-,0.00,1.87,1.73%,8.60%,28.70%,11.30%,17.60%
AHCO,0.65,36.06,11.60,1.21,1.03,0.29,-,1.80%,3.60%,-61.70%,0.70%
BTTX,-,-,-,-,-,-1.67,-,-,-,4.80%,1.40%
FTDR,30.12,27.65,18.27,2.08,7.29,1.11,-,184.80%,10.70%,1000.00%,0.37%
LAMR,7.90,21.71,16.07,7.24,2.92,4.15,5.55%,34.70%,12.40%,-17.80%,0.80%
IOAC,,,,,,,,,,,
MRBK,,,,,,,,,,,
ZUMZ,0.78,15.18,14.64,1.01,0.00,1.09,-,5.50%,4.80%,-65.20%,19.13%
BIGB,-,-,-,-,-,-,-,-,-,-,-
PTF,-,-,-,-,-,-,-,-,-,-,-
NEOV,14.00,-,-,-,0.00,-0.13,-,-57.50%,-151.50%,-19.80%,1.80%
NFE,4.25,52.07,4.20,-,4.08,0.51,0.76%,6.70%,14.50%,-36.70%,0.20%
PTWOU,,,,,,,,,,,
GMFIU,,,,,,,,,,,
IDXX,46.02,56.10,42.09,3.60,1.43,8.31,-,117.40%,36.70%,12.50%,0.30%
ONCS,-,-,-,-,-,-15.24,-,-868.40%,-,52.20%,28.01%
NCNA,1.10,-,-,-,0.02,-0.74,-,-70.40%,-,6.80%,0.72%
SILC,1.30,12.29,9.04,0.82,0.00,2.89,-,11.20%,8.80%,62.30%,43.00%
AAPL,45.00,30.12,27.07,3.76,1.76,5.89,0.54%,165.70%,58.30%,0.00%,0.07%
MEDP,18.50,26.25,22.16,1.85,0.33,7.89,-,75.10%,55.30%,34.40%,23.50%
IBTJ,-,-,-,-,-,-,2.70%,-,-,-,-
MESA,0.24,-,4.20,-,2.21,-4.59,-,-52.00%,-15.20%,25.90%,0.20%
INVO,29.99,-,-,-,11.00,-0.87,-,-,5314.70%,11.00%,8.90%
RNSC,-,-,-,-,-,-,2.17%,-,-,-,-
NRBO,0.76,-,-,-,0.00,-7.93,-,-96.10%,-,97.00%,0.10%
APM,0.70,-,-,-,0.41,-2.75,-,-41.90%,-78.90%,-158.60%,31.63%
GALT,-,-,-,-,-,-0.68,-,133.50%,-,-16.00%,1.20%
APLT,-,-,-,-,-,-1.83,-,-785.00%,-,79.60%,2.40%
ALYA,0.81,-,435.00,-,0.73,-0.19,-,-8.60%,-3.30%,-40.00%,2.30%
CSGP,4.57,85.96,51.91,4.30,0.14,0.92,-,5.60%,4.20%,-5.30%,0.80%
RWODU,,,,,,,,,,,
SKYY,-,-,-,-,-,-,1.12%,-,-,-,-
LUCY,2.85,-,-,-,0.00,-0.85,-,-184.70%,-136.00%,5.10%,67.40%
GILT,1.22,138.46,-,13.85,0.00,0.04,-,0.90%,-1.30%,319.90%,13.20%
DNLI,4.13,-,-,-,0.00,-2.86,-,-40.00%,-32.70%,-51.20%,1.80%
TENK,267.95,95.00,-,-,-,0.11,-,-,-,-,26.66%
INSG,-,-,-,-,-,-0.47,-,83.60%,-60.80%,78.10%,0.80%
DYTA,-,-,-,-,-,-,-,-,-,-,-
RIBT,0.49,-,-,-,0.71,-1.46,-,-64.70%,-35.40%,-7.00%,3.60%
OCUL,49.15,-,-,-,5.64,-1.15,-,-226.10%,-88.00%,-139.70%,0.10%
PDLB,0.66,-,-,-,0.00,-0.99,-,-2.00%,11.80%,-144.90%,17.51%
PGC,0.91,6.26,6.73,5.21,0.26,4.32,0.74%,13.10%,22.10%,43.70%,2.60%
SHV,-,-,-,-,-,-,2.68%,-,-,-,-
MREO,1.96,-,-,-,-,-0.35,-,-,-,-,-
SFBC,0.96,10.35,-,-,0.12,3.55,2.07%,9.60%,29.20%,27.60%,2.90%
AMAOU,,,,,,,,,,,
ALBT,-,-,-,-,-,-1.31,-,-741.50%,-129.30%,-18.80%,33.20%
BPTH,1.46,-,-,-,0.00,-2.10,-,-107.00%,-,-41.20%,0.43%
INDP,0.65,-,-,-,0.00,-1.83,-,-58.60%,-,-24.20%,2.30%
ASLN,0.23,-,-,-,0.81,-12.84,-,-,-,-42.00%,0.07%
CTAS,13.20,37.86,33.07,3.13,0.75,12.46,0.98%,39.60%,21.70%,5.60%,0.50%
AFRM,1.74,-,-,-,1.88,-3.30,-,-37.90%,-12.80%,-261.60%,0.30%
CAC,0.96,7.85,9.63,-,0.10,3.90,5.48%,12.80%,26.40%,-23.20%,1.80%
TBBK,2.50,12.31,8.00,1.03,0.17,2.65,-,22.00%,23.80%,75.80%,0.40%
PXI,-,-,-,-,-,-,4.09%,-,-,-,-
HROWM,,,,,,,,,,,
CTSO,4.18,-,-,-,0.17,-0.71,-,-82.60%,-75.30%,18.60%,5.80%
JWEL,0.17,-,-,-,0.07,-0.41,-,-29.10%,-29.10%,-179.50%,16.28%
TTD,17.67,489.37,48.40,20.39,0.00,0.14,-,4.00%,1.90%,161.90%,0.20%
DCPH,2.56,-,-,-,0.00,-2.35,-,-46.60%,-53.70%,25.00%,0.20%
PPBT,0.08,-,-,-,0.01,-10.36,-,-38.30%,-,40.00%,-
TFFP,1.05,-,-,-,0.00,-1.07,-,-149.60%,-138.90%,41.00%,0.60%
BIDU,1.33,22.65,11.00,1.52,0.38,5.46,-,6.20%,3.40%,742.00%,15.60%
SCVL,1.04,5.56,5.21,0.56,0.00,3.61,2.29%,22.10%,20.80%,9.30%,1.50%
GLG,0.27,11.53,-,-,0.00,0.06,-,1.30%,-47.60%,-84.60%,56.60%
IBBQ,-,-,-,-,-,-,0.79%,-,-,-,-
SHUAU,,,,,,,,,,,
NWS,1.35,41.13,-,-,-,0.46,1.06%,-,-,-39.00%,40.20%
EDOC,-,-,-,-,-,-,-,-,-,-,-
LBBB,,,,,,,,,,,
SNCY,2.02,21.31,8.25,0.28,1.27,0.87,-,10.40%,4.50%,992.70%,0.30%
FISV,2.35,29.88,13.44,2.11,0.74,3.78,-,7.90%,6.10%,-12.40%,0.50%
VJET,0.77,-,-,-,1.06,-1.99,-,-59.70%,-11.90%,-259.70%,21.14%
DERM,2.95,-,-,-,2.23,-1.68,-,-,-63.50%,-,22.60%
MOND,-,-,119.38,-,-,-1.24,-,-88.10%,-61.20%,-729.40%,93.70%
BCAB,0.92,-,-,-,0.00,-2.67,-,-68.10%,-,11.20%,4.40%
COKE,5.07,15.34,-,-,0.49,43.53,0.30%,42.60%,28.80%,38.80%,43.53%
ONEQ,-,-,-,-,-,-,0.84%,-,-,-,-
SELB,2.35,-,-,-,0.35,-0.10,-,-17.60%,12.60%,-162.60%,0.40%
EVOK,2.73,-,-,-,2.38,-2.52,-,-175.20%,-85.60%,15.70%,2.46%
ANIP,2.34,-,10.46,-,0.91,-1.72,-,-8.90%,-3.40%,104.90%,14.10%
APDN,1.41,-,-,-,0.00,-0.44,-,-51.90%,-108.30%,119.70%,1.40%
LKQ,2.48,12.70,12.11,0.38,0.48,4.16,2.08%,20.80%,14.70%,7.30%,0.50%
DKDCU,,,,,,,,,,,
IEI,-,-,-,-,-,-,1.80%,-,-,-,-
MGYR,0.65,8.24,-,-,0.00,1.23,1.18%,8.10%,23.80%,13.00%,4.50%
PNAC,,,,,,,,,,,
VXRT,1.86,-,-,-,0.00,-0.83,-,-92.60%,-97.40%,6.80%,0.60%
TIO,0.60,76.00,0.86,-,0.22,0.04,-,28.60%,-6.40%,575.30%,26.20%
NEPT,0.15,-,-,-,0.00,-10.11,-,-131.10%,-148.30%,100.10%,3.50%
TORO,0.19,0.62,-,-,0.08,5.28,-,-,33.00%,120.70%,-
SOGU,-,-,-,-,-,-,13.18%,-,-,-,-
PIK,0.61,-,-,-,0.30,-1.01,-,-80.70%,-73.10%,-6.70%,25.10%
MCAC,-,-,-,-,-,-1.43,-,-,-,-,-
FRGT,6.10,-,-,-,-,-11.24,-,-,-,-,2.54%
EBAY,4.35,36.47,9.53,4.59,1.43,1.20,2.29%,12.40%,19.10%,146.10%,0.10%
SLNG,1.10,229.38,-,-,0.18,0.02,-,-,-0.30%,362.30%,1.90%
TMCI,9.79,-,-,-,0.34,-0.84,-,-53.70%,-35.00%,-39.00%,17.30%
FNGR,6.14,-,-,-,0.45,-0.16,-,-121.50%,-95.40%,-135.40%,52.60%
MRND,,,,,,,,,,,
VUZI,2.98,-,-,-,0.00,-0.64,-,-33.50%,-36.20%,1.80%,5.40%
TRMK,0.85,14.37,9.54,2.05,0.12,1.51,4.23%,6.00%,27.90%,73.70%,0.30%
BLAC,,,,,,,,,,,
ASPA,,,,,,,,,,,
CHKEL,,,,,,,,,,,
SCYX,-,-,1.87,-,-,-1.94,-,-,-166.80%,-317.10%,0.30%
XBIL,-,-,-,-,-,-,4.76%,-,-,-,-
GLRE,0.64,17.64,6.03,1.76,0.12,0.55,-,7.50%,5.50%,188.50%,2.30%
ADTX,59.98,-,-,-,14.00,-14.96,-,-570.60%,-455.00%,80.70%,0.96%
FNVTU,,,,,,,,,,,
IMPL,-,-,-,-,-,-4.64,-,323.10%,-,-8.70%,1.17%
VICR,5.56,85.69,40.74,4.28,0.00,0.71,-,6.90%,5.20%,125.20%,0.90%
PEY,-,-,-,-,-,-,5.06%,-,-,-,-
SXTC,0.04,-,-,-,0.08,-6.01,-,-,-30.00%,-,4.80%
MODD,1.47,-,-,-,0.00,-1.50,-,-145.00%,-,59.70%,1.00%
XMTR,2.49,-,370.00,-,0.00,-1.57,-,-19.50%,-11.30%,10.10%,2.70%
AKU,,,,,,,,,,,
DCBO,4.08,53.83,59.60,-,0.02,0.61,-,8.00%,1.80%,117.30%,47.14%
MLTX,25.82,-,-,-,0.00,-1.25,-,-88.30%,-,45.40%,7.66%
OPBK,0.67,3.85,5.24,0.39,0.00,2.10,5.95%,18.30%,34.20%,-8.30%,22.20%
CCAI,,,,,,,,,,,
LCID,3.89,-,-,-,0.58,-1.88,-,-87.30%,-40.30%,-766.00%,1.50%
SNAL,5.16,-,1.42,-,1.36,-0.21,-,-65.20%,2.60%,66.00%,0.30%
MTEM,-,-,-,-,-,-1.07,-,-,-421.40%,150.10%,0.20%
AMAT,8.60,18.01,19.38,1.36,0.43,7.58,0.94%,53.00%,38.00%,1.20%,0.35%
GTBP,0.76,-,-,-,0.00,-0.49,-,-111.60%,-,96.50%,1.90%
ELVN,-,117.47,-,-,0.00,0.15,-,-,-,-,1.20%
AAON,7.78,40.44,26.97,3.37,0.15,2.19,0.54%,21.80%,16.10%,99.10%,0.40%
HUGE,1.38,-,-,-,0.02,-1.10,-,-85.00%,-,-87.20%,15.98%
USOI,-,-,-,-,-,-,40.37%,-,-,-,-
ONCY,5.73,-,-,-,0.02,-0.30,-,-87.90%,-,13.80%,1.80%
AMZD,-,-,-,-,-,-,4.20%,-,-,-,-
KTTA,0.26,-,-,-,0.01,-0.60,-,-35.40%,-37.30%,-122.80%,7.40%
LSXMA,1.05,8.31,9.34,0.19,1.45,3.43,-,13.70%,6.60%,-35.40%,3.88%
CDIO,4.28,-,-,-,0.26,-0.37,-,-80.10%,-,-254.90%,19.80%
RIVN,1.09,-,-,-,0.00,-7.08,-,-44.30%,-45.60%,18.00%,0.10%
ISPC,0.60,-,-,-,0.00,-1.16,-,-47.80%,-,0.40%,8.20%
NUBI,,,,,,,,,,,
ARTNA,2.46,27.04,24.52,6.76,1.06,1.81,2.32%,9.20%,6.20%,-17.80%,1.50%
CCLD,0.46,-,-,-,0.10,-0.76,-,-11.40%,5.80%,-45.40%,33.90%
EFTR,-,-,-,-,-,-0.86,-,-472.50%,-,-416.00%,0.80%
PCYG,3.17,30.95,22.29,1.41,0.01,0.25,0.77%,10.70%,9.40%,66.80%,4.00%
UMBF,1.03,6.94,7.84,-,0.14,8.58,2.55%,15.70%,25.40%,-12.60%,0.70%
BSJR,-,-,-,-,-,-,6.03%,-,-,-,-
VIVK,0.72,-,-,-,2.05,-0.69,-,-,-,-,42.66%
ICVX,2.13,-,-,-,0.00,-2.31,-,-41.90%,-43.60%,0.30%,3.20%
OMEX,-,242.86,-,-,-,0.01,-,-7.10%,-118.40%,245.70%,2.10%
TWNK,1.85,20.51,20.68,2.15,0.55,1.23,-,9.40%,6.20%,14.90%,0.57%
ACRS,3.10,-,-,-,0.00,-1.45,-,-46.40%,-45.50%,-37.70%,0.20%
SEPA,,,,,,,,,,,
DISH,0.20,2.04,-,-,1.18,3.28,-,12.00%,3.30%,-48.70%,0.40%
HEPS,3.03,-,-,-,0.14,-0.20,-,-104.30%,-36.30%,62.20%,76.47%
PBAX,,,,,,,,,,,
CNEY,0.09,2.30,-,-,0.06,0.10,-,3.80%,0.20%,-64.70%,23.86%
DHAC,,,,,,,,,,,
SBIG,-,-,5.17,-,-,-0.51,-,829.00%,-346.90%,25.50%,0.30%
PACB,4.31,-,-,-,1.30,-1.40,-,-50.10%,-21.00%,0.80%,0.80%
ACABU,,,,,,,,,,,
WLDS,2.27,-,-,-,0.00,-0.53,-,-208.70%,-,-525.10%,53.32%
RENT,-,-,-,-,-,-2.16,-,-,-43.60%,35.30%,5.30%
RNXT,5.17,-,-,-,0.00,-1.12,-,-146.50%,-,-7.30%,0.30%
PARA,0.47,-,10.72,-,0.73,-1.36,1.26%,-2.20%,5.10%,-412.20%,0.20%
BRFH,8.94,-,20.87,-,0.00,-0.48,-,-162.70%,-248.80%,-1.10%,1.40%
VINO,0.23,-,-,-,0.31,-12.79,-,-157.60%,-160.70%,77.10%,8.90%
LBBBU,,,,,,,,,,,
CHDN,14.46,18.75,16.57,0.62,6.28,7.22,0.26%,89.50%,3.00%,276.60%,2.90%
SMTI,6.78,-,26.77,-,0.00,-0.72,-,-,-17.80%,65.00%,12.00%
GRWG,1.11,-,-,-,0.00,-2.71,-,-73.70%,-76.20%,-16.70%,1.40%
XBIO,0.38,-,-,-,0.00,-4.01,-,-,-,-,-
TWOU,0.69,-,6.68,-,1.86,-3.21,-,-48.60%,-18.00%,58.70%,3.00%
AACIU,,,,,,,,,,,
DRS,1.82,8.46,18.15,-,0.28,1.77,-,20.40%,17.50%,-73.20%,80.79%
PENN,0.92,6.21,12.82,0.71,1.76,4.02,-,18.10%,6.50%,987.90%,0.10%
ROSE,,,,,,,,,,,
LTRN,1.13,-,-,-,0.00,-1.29,-,-24.50%,-,6.00%,23.35%
FDTS,,,,,,,,,,,
BPACU,,,,,,,,,,,
LANDM,1.14,-,-,-,-,-0.29,5.32%,-,-,48.60%,-
FSTR,1.04,-,15.24,-,0.59,-4.29,-,-29.30%,-19.90%,-36.10%,1.30%
VAQC,7.00,35.49,-,-,0.03,0.28,-,2.70%,-,-,0.46%
PDEX,2.62,14.99,13.14,-,0.48,1.27,-,19.00%,11.50%,194.10%,3.10%
FTC,-,-,-,-,-,-,1.06%,-,-,-,-
MBTC,,,,,,,,,,,
EDSA,2.00,-,-,-,0.00,-0.79,-,-131.10%,-,64.50%,4.00%
VSAT,0.92,-,-,-,0.64,-2.91,-,37.20%,-3.30%,-12.00%,0.40%
CLRB,2.84,-,-,-,0.00,-3.99,-,-247.10%,-,24.20%,5.17%
CBNK,1.02,5.86,7.05,-,0.05,2.88,1.42%,18.80%,51.50%,-4.20%,2.70%
PALT,1.27,-,16.45,-,0.00,-0.36,-,-15.80%,-16.60%,-6.50%,6.70%
AGNCM,,,,,,,,,,,
JG,1.99,-,29.85,-,0.04,-0.13,-,-65.70%,-105.30%,7.20%,0.56%
SCPL,3.74,19.88,16.41,1.16,0.00,0.98,-,21.60%,135.30%,34.80%,1.00%
INTZ,-,-,-,-,-,-0.83,-,438.00%,-240.90%,-5.90%,5.20%
EXPO,13.77,46.96,39.95,3.13,0.00,1.96,1.13%,30.90%,34.60%,0.90%,0.10%
CSSE,0.71,-,-,-,12.74,-7.96,-,-210.70%,-14.20%,-199.20%,3.10%
DMRC,7.09,-,-,-,0.00,-2.83,-,-56.00%,-63.50%,31.80%,1.00%
MTEK,0.73,-,-,-,0.11,-0.50,-,-89.10%,-34.40%,-169.80%,40.91%
SKGR,1.33,50.87,-,-,0.03,0.21,-,2.00%,-,-,-
KOD,0.76,-,-,-,0.00,-5.91,-,-67.20%,-,26.30%,0.40%
UFPI,1.82,8.14,9.22,0.48,0.10,9.97,1.23%,-,25.30%,-34.40%,2.00%
AXGN,3.80,-,-,-,0.47,-0.58,-,-24.40%,-20.30%,39.50%,3.80%
RMTI,3.97,-,-,-,0.74,-1.26,-,-84.30%,-,99.00%,5.58%
RAIL,-,-,16.29,-,-,-0.76,-,80.10%,-9.50%,87.90%,1.20%
PTON,-,-,-,-,-,-6.69,-,-,-127.80%,65.30%,2.28%
ESPO,-,-,-,-,-,-,0.74%,-,-,-,-
JZXN,4.04,-,-,-,0.50,-0.11,-,-125.50%,-201.90%,-545.20%,33.10%
CRESY,0.55,16.10,-,0.64,1.40,0.39,2.40%,20.40%,11.60%,-48.90%,38.20%
PETS,2.40,1217.50,21.17,-,0.00,0.01,8.21%,0.20%,-2.20%,-184.10%,0.80%
FTII,,,,,,,,,,,
CJJD,0.14,-,-,-,1.21,-0.97,-,-14.30%,-6.30%,92.80%,7.05%
LFLY,-,0.79,-,-,-,0.40,-,-409.30%,-,73.00%,24.00%
ERYP,1.06,-,-,-,0.58,-0.01,-,-,-8.90%,102.40%,-
METX,0.15,2.91,-,-,0.04,0.07,-,92.60%,5.20%,101.30%,16.51%
ASO,2.33,6.53,5.78,0.59,0.36,7.48,0.74%,40.30%,29.50%,24.60%,1.30%
MOMO,1.01,8.10,5.53,5.51,0.25,1.00,-,14.10%,7.90%,109.10%,5.67%
DSEY,4.29,-,18.87,-,3.15,-0.57,-,-27.20%,-3.60%,-35.60%,3.02%
GTH,0.64,-,-,-,0.18,-1.07,-,-62.10%,-40.50%,-154.10%,6.94%
SPWH,0.70,5.40,5.78,0.26,0.37,1.02,-,13.80%,11.10%,-77.70%,2.00%
ALLT,1.01,-,-,-,0.39,-0.86,-,-29.00%,-24.10%,-61.20%,16.30%
PCAR,4.02,14.36,11.09,-,0.86,4.96,1.41%,24.00%,12.40%,-18.70%,1.40%
AMBA,5.26,-,159.46,-,0.00,-1.70,-,-11.10%,-11.30%,-15.30%,5.30%
DYN,2.94,-,-,-,0.00,-3.33,-,-68.50%,-,-13.80%,1.50%
MBLY,2.51,-,55.63,-,0.00,-0.13,-,-0.80%,-0.60%,-30.60%,1.50%
CTRN,0.74,5.59,84.22,0.22,0.00,2.71,-,41.40%,35.00%,-29.50%,1.30%
FBIO,1.45,-,-,-,2.54,-1.00,-,-169.10%,-143.70%,-15.70%,22.80%
SONN,1.50,-,-,-,0.00,-4.63,-,-,-,82.00%,0.80%
NEO,2.18,-,-,-,0.55,-1.01,-,-12.50%,-9.30%,38.40%,0.80%
AVNW,1.63,28.84,8.34,2.40,0.03,1.06,-,6.20%,9.60%,-19.70%,3.90%
PTEC,,,,,,,,,,,
PRTK,-,-,-,-,-,-1.19,-,39.00%,-53.90%,-3.10%,7.10%
OCG,0.29,4.41,-,-,0.00,0.15,-,6.70%,5.20%,-236.80%,28.86%
EQ,0.76,-,-,-,0.26,-0.84,-,-89.30%,-152.10%,90.20%,0.10%
CVGI,2.48,-,9.02,-,1.24,-0.56,-,-13.20%,-0.20%,115.20%,0.10%
DRTT,5.03,-,-,-,-,-0.46,-,-,-,-,19.73%
PET,10.90,-,-,-,3.55,-1.42,-,-,-86.00%,73.40%,12.90%
RILY,2.74,-,-,-,14.31,-5.11,10.93%,-30.80%,-1.30%,218.50%,23.10%
MNMD,1.08,-,-,-,-,-1.79,-,-,-,-,14.72%
FTGC,-,-,-,-,-,-,12.26%,-,-,-,-
UTMD,2.86,19.72,-,-,0.00,4.72,1.27%,15.30%,13.70%,20.20%,6.47%
AACI,3.16,-,-,-,0.07,-0.03,-,-0.50%,-,83.60%,26.79%
CGRN,18.67,-,-,-,50.36,-1.17,-,-474.50%,-28.00%,15.90%,2.60%
ACWI,-,-,-,-,-,-,1.73%,-,-,-,-
PSL,-,-,-,-,-,-,2.01%,-,-,-,-
TITN,1.07,5.20,5.36,0.21,0.67,4.92,-,20.30%,11.70%,-19.70%,10.51%
AOTG,,,,,,,,,,,
BPMC,8.19,-,-,-,0.34,-9.71,-,-100.30%,-83.00%,-20.60%,1.00%
CGO,0.95,-,-,-,-,-5.08,10.51%,-,-,-,12.66%
FAB,-,-,-,-,-,-,1.96%,-,-,-,-
OSBC,1.09,6.97,6.45,1.00,0.26,1.75,1.64%,17.20%,29.30%,95.70%,1.90%
BDRX,0.03,-,-,-,0.21,-9.54,-,-123.20%,-212.30%,43.30%,-
POET,11.61,-,-,-,0.02,-0.56,-,-152.70%,-,8.00%,0.97%
AMPG,0.82,-,241.00,-,0.01,-0.13,-,-4.40%,0.50%,-,2.20%
IBEX,3.06,16.80,8.90,-,0.69,1.21,-,21.00%,15.50%,74.00%,48.60%
HPLT,25.78,322.19,-,-,0.00,0.03,-,0.60%,-,-264.40%,58.51%
SP,3.21,17.80,10.85,1.78,1.67,2.06,-,18.20%,11.50%,-15.70%,1.30%
THRY,2.02,30.09,16.51,-,1.15,0.77,-,7.50%,6.40%,-71.50%,1.20%
YS,0.20,2.19,-,-,0.00,0.69,-,9.40%,-,451.30%,-
MASS,1.56,-,-,-,0.00,-1.16,-,-19.10%,-17.20%,-30.00%,5.90%
IEF,-,-,-,-,-,-,2.32%,-,-,-,-
LNKB,0.55,17.92,5.95,-,0.51,0.28,6.00%,1.90%,15.20%,-166.20%,7.90%
FOLD,31.97,-,78.80,-,3.83,-0.70,-,-153.70%,-40.10%,38.50%,0.80%
SOXX,-,-,-,-,-,-,1.11%,-,-,-,-
GEHC,5.30,19.99,18.12,-,1.53,3.90,0.15%,-,11.10%,-34.00%,0.05%
MCFT,2.66,6.06,6.31,0.61,0.31,4.41,-,37.00%,29.80%,-2.40%,2.50%
ARTE,1.31,34.25,-,-,0.00,0.31,-,3.70%,-,335.40%,-
SUSB,-,-,-,-,-,-,2.12%,-,-,-,-
ISPR,4.62,-,-,-,0.00,-0.15,-,-,-17.50%,-343.00%,73.91%
INFR,,,,,,,,,,,
AGLE,0.36,-,-,-,0.00,-0.86,-,-132.10%,-168.30%,47.20%,0.20%
ONCT,0.33,-,-,-,0.00,-0.84,-,-71.50%,-73.70%,2.00%,1.90%
